"site","Longitude","Latitude","Block","Aluminum.Tag","source_pop","source_ind","ppt_mismatch","Sex","year_t1","tillerN_t0","flowerN_t0","flowerLength1_t0","flowerLength2_t0","flowerLength3_t0","MaxLength_t0","MaxWidth_t0","surv_t1","tillerN_t1","flowerN_t1","flowerLength1_t1","flowerLength2_t1","flowerLength3_t1","MaxLength_t1","MaxWidth_t1"
"lubbock",-101.8833,33.5667,13,77,"LAR",296,-262.632093727819,"F",2015,4,NA,NA,NA,NA,NA,NA,1,4,0,NA,NA,NA,NA,NA
"lubbock",-101.8833,33.5667,2,11,"LAR",299,-262.632093727819,"F",2015,1,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"lubbock",-101.8833,33.5667,14,84,"HHC",58,-631.844664358036,"F",2015,1,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"lubbock",-101.8833,33.5667,6,34,"COB",360,-173.963279062266,"F",2015,1,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"lubbock",-101.8833,33.5667,12,67,"LAR",296,-262.632093727819,"F",2015,2,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"lubbock",-101.8833,33.5667,12,68,"QLP",3,-236.964991391097,"F",2015,3,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"lubbock",-101.8833,33.5667,5,30,"QLP",5,-236.964991391097,"F",2015,3,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"lubbock",-101.8833,33.5667,3,16,"LAR",299,-262.632093727819,"F",2015,1,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"lubbock",-101.8833,33.5667,4,22,"LAR",299,-262.632093727819,"F",2015,1,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"lubbock",-101.8833,33.5667,7,37,"COB",366,-173.963279062266,"F",2015,2,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"lubbock",-101.8833,33.5667,12,71,"HHC",71,-631.844664358036,"M",2015,1,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
