Longitude,Latitude,month,year,Census.year,ppt,site,long.scaled,long.center
-101.2,30.71,1,1979,1978,1.8,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,1,1979,1978,23.85,llano,-0.5866772,-1.333036643
-97.469,30.179,1,1979,1978,67.12,lostP,0.426622466,0.969363357
-95.551,30.7233,1,1979,1978,179.12,shsu,1.270745451,2.887363357
-99.2906,34.1511,1,1979,1978,32.26,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,1,1979,1978,24.55,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,1,1979,1978,26.69,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,1,1979,1978,46.23,elreno,0.211630768,0.480863357
-97.672833,37.538006,1,1979,1978,39.69,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,1,1979,1978,74.71,psu,1.645407545,3.738663357
-101.8833,33.5667,1,1979,1978,15.07,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,1,1979,1978,84.15,llela,0.648699869,1.473963357
-95.920129,29.920887,1,1979,1978,170.81,Katy,1.108289626,2.518234357
-98.514125,33.913161,1,1979,1978,58.97,wf,-0.033343141,-0.075761643
-101.2,30.71,1,1980,1979,16.02,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,1,1980,1979,26.14,llano,-0.5866772,-1.333036643
-97.469,30.179,1,1980,1979,51.49,lostP,0.426622466,0.969363357
-95.551,30.7233,1,1980,1979,67.86,shsu,1.270745451,2.887363357
-99.2906,34.1511,1,1980,1979,37.76,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,1,1980,1979,22.35,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,1,1980,1979,35.92,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,1,1980,1979,49.36,elreno,0.211630768,0.480863357
-97.672833,37.538006,1,1980,1979,43.88,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,1,1980,1979,15.28,psu,1.645407545,3.738663357
-101.8833,33.5667,1,1980,1979,14.32,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,1,1980,1979,54.48,llela,0.648699869,1.473963357
-95.920129,29.920887,1,1980,1979,109.92,Katy,1.108289626,2.518234357
-98.514125,33.913161,1,1980,1979,36.22,wf,-0.033343141,-0.075761643
-101.2,30.71,1,1981,1980,23.92,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,1,1981,1980,25.06,llano,-0.5866772,-1.333036643
-97.469,30.179,1,1981,1980,47.48,lostP,0.426622466,0.969363357
-95.551,30.7233,1,1981,1980,64.76,shsu,1.270745451,2.887363357
-99.2906,34.1511,1,1981,1980,1.04,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,1,1981,1980,2.34,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,1,1981,1980,1.99,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,1,1981,1980,2.69,elreno,0.211630768,0.480863357
-97.672833,37.538006,1,1981,1980,3.77,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,1,1981,1980,12.03,psu,1.645407545,3.738663357
-101.8833,33.5667,1,1981,1980,8.08,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,1,1981,1980,11.89,llela,0.648699869,1.473963357
-95.920129,29.920887,1,1981,1980,62.87,Katy,1.108289626,2.518234357
-98.514125,33.913161,1,1981,1980,5.24,wf,-0.033343141,-0.075761643
-101.2,30.71,1,1982,1981,15.03,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,1,1982,1981,11.58,llano,-0.5866772,-1.333036643
-97.469,30.179,1,1982,1981,29.39,lostP,0.426622466,0.969363357
-95.551,30.7233,1,1982,1981,53.15,shsu,1.270745451,2.887363357
-99.2906,34.1511,1,1982,1981,36,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,1,1982,1981,4.29,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,1,1982,1981,12.66,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,1,1982,1981,70.87,elreno,0.211630768,0.480863357
-97.672833,37.538006,1,1982,1981,26.32,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,1,1982,1981,79.42,psu,1.645407545,3.738663357
-101.8833,33.5667,1,1982,1981,7.21,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,1,1982,1981,78.23,llela,0.648699869,1.473963357
-95.920129,29.920887,1,1982,1981,40.94,Katy,1.108289626,2.518234357
-98.514125,33.913161,1,1982,1981,39.38,wf,-0.033343141,-0.075761643
-101.2,30.71,1,1983,1982,39.49,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,1,1983,1982,36.37,llano,-0.5866772,-1.333036643
-97.469,30.179,1,1983,1982,64.02,lostP,0.426622466,0.969363357
-95.551,30.7233,1,1983,1982,46.59,shsu,1.270745451,2.887363357
-99.2906,34.1511,1,1983,1982,51.81,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,1,1983,1982,42.27,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,1,1983,1982,18.65,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,1,1983,1982,38.43,elreno,0.211630768,0.480863357
-97.672833,37.538006,1,1983,1982,19.63,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,1,1983,1982,14.87,psu,1.645407545,3.738663357
-101.8833,33.5667,1,1983,1982,68.85,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,1,1983,1982,37.85,llela,0.648699869,1.473963357
-95.920129,29.920887,1,1983,1982,68.55,Katy,1.108289626,2.518234357
-98.514125,33.913161,1,1983,1982,48.43,wf,-0.033343141,-0.075761643
-101.2,30.71,1,1984,1983,40.45,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,1,1984,1983,35.8,llano,-0.5866772,-1.333036643
-97.469,30.179,1,1984,1983,42.17,lostP,0.426622466,0.969363357
-95.551,30.7233,1,1984,1983,51.3,shsu,1.270745451,2.887363357
-99.2906,34.1511,1,1984,1983,1.11,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,1,1984,1983,11.5,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,1,1984,1983,7.42,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,1,1984,1983,10.45,elreno,0.211630768,0.480863357
-97.672833,37.538006,1,1984,1983,6.39,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,1,1984,1983,10.39,psu,1.645407545,3.738663357
-101.8833,33.5667,1,1984,1983,3.64,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,1,1984,1983,29.99,llela,0.648699869,1.473963357
-95.920129,29.920887,1,1984,1983,52.55,Katy,1.108289626,2.518234357
-98.514125,33.913161,1,1984,1983,10.64,wf,-0.033343141,-0.075761643
-101.2,30.71,1,1985,1984,42.96,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,1,1985,1984,46.06,llano,-0.5866772,-1.333036643
-97.469,30.179,1,1985,1984,36.45,lostP,0.426622466,0.969363357
-95.551,30.7233,1,1985,1984,93.33,shsu,1.270745451,2.887363357
-99.2906,34.1511,1,1985,1984,22.8,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,1,1985,1984,21.24,buffalolake,-1.499412684,-3.406936643
