Longitude,Latitude,month,year,Census.year,temp,site,long.scaled,long.center
-101.2,30.71,1,1980,1979,8.8,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,1,1980,1979,9.8,llano,-0.5866772,-1.333036643
-97.469,30.179,1,1980,1979,10.9,lostP,0.426622466,0.969363357
-95.551,30.7233,1,1980,1979,11,shsu,1.270745451,2.887363357
-99.2906,34.1511,1,1980,1979,5.5,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,1,1980,1979,3.5,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,1,1980,1979,1.2,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,1,1980,1979,2.9,elreno,0.211630768,0.480863357
-97.672833,37.538006,1,1980,1979,0.3,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,1,1980,1979,1.6,psu,1.645407545,3.738663357
-101.8833,33.5667,1,1980,1979,5.6,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,1,1980,1979,7.5,llela,0.648699869,1.473963357
-95.920129,29.920887,1,1980,1979,12.2,Katy,1.108289626,2.518234357
-98.514125,33.913161,1,1980,1979,6.1,wf,-0.033343141,-0.075761643
-101.2,30.71,1,1981,1980,7.9,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,1,1981,1980,8.9,llano,-0.5866772,-1.333036643
-97.469,30.179,1,1981,1980,10.1,lostP,0.426622466,0.969363357
-95.551,30.7233,1,1981,1980,9,shsu,1.270745451,2.887363357
-99.2906,34.1511,1,1981,1980,6.3,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,1,1981,1980,4,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,1,1981,1980,2.8,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,1,1981,1980,4,elreno,0.211630768,0.480863357
-97.672833,37.538006,1,1981,1980,1.4,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,1,1981,1980,1.3,psu,1.645407545,3.738663357
-101.8833,33.5667,1,1981,1980,5.1,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,1,1981,1980,7.3,llela,0.648699869,1.473963357
-95.920129,29.920887,1,1981,1980,10.1,Katy,1.108289626,2.518234357
-98.514125,33.913161,1,1981,1980,6,wf,-0.033343141,-0.075761643
-101.2,30.71,1,1982,1981,7.7,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,1,1982,1981,8.9,llano,-0.5866772,-1.333036643
-97.469,30.179,1,1982,1981,10.5,lostP,0.426622466,0.969363357
-95.551,30.7233,1,1982,1981,10.4,shsu,1.270745451,2.887363357
-99.2906,34.1511,1,1982,1981,5.3,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,1,1982,1981,3.7,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,1,1982,1981,-0.1,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,1,1982,1981,1.1,elreno,0.211630768,0.480863357
-97.672833,37.538006,1,1982,1981,-3.3,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,1,1982,1981,-2.1,psu,1.645407545,3.738663357
-101.8833,33.5667,1,1982,1981,5.2,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,1,1982,1981,6.6,llela,0.648699869,1.473963357
-95.920129,29.920887,1,1982,1981,11.8,Katy,1.108289626,2.518234357
-98.514125,33.913161,1,1982,1981,5.4,wf,-0.033343141,-0.075761643
-101.2,30.71,1,1983,1982,7.6,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,1,1983,1982,8,llano,-0.5866772,-1.333036643
-97.469,30.179,1,1983,1982,9.1,lostP,0.426622466,0.969363357
-95.551,30.7233,1,1983,1982,8.6,shsu,1.270745451,2.887363357
-99.2906,34.1511,1,1983,1982,4.8,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,1,1983,1982,0.6,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,1,1983,1982,2,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,1,1983,1982,2.9,elreno,0.211630768,0.480863357
-97.672833,37.538006,1,1983,1982,0.1,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,1,1983,1982,1.6,psu,1.645407545,3.738663357
-101.8833,33.5667,1,1983,1982,1.4,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,1,1983,1982,6.6,llela,0.648699869,1.473963357
-95.920129,29.920887,1,1983,1982,9.6,Katy,1.108289626,2.518234357
-98.514125,33.913161,1,1983,1982,5.2,wf,-0.033343141,-0.075761643
-101.2,30.71,1,1984,1983,4.9,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,1,1984,1983,6.2,llano,-0.5866772,-1.333036643
-97.469,30.179,1,1984,1983,7.7,lostP,0.426622466,0.969363357
-95.551,30.7233,1,1984,1983,7.2,shsu,1.270745451,2.887363357
-99.2906,34.1511,1,1984,1983,2.4,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,1,1984,1983,0.5,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,1,1984,1983,-0.2,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,1,1984,1983,0.5,elreno,0.211630768,0.480863357
-97.672833,37.538006,1,1984,1983,-1.2,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,1,1984,1983,-1.7,psu,1.645407545,3.738663357
-101.8833,33.5667,1,1984,1983,2.2,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,1,1984,1983,3.7,llela,0.648699869,1.473963357
-95.920129,29.920887,1,1984,1983,8.7,Katy,1.108289626,2.518234357
-98.514125,33.913161,1,1984,1983,2.6,wf,-0.033343141,-0.075761643
-101.2,30.71,1,1985,1984,3.6,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,1,1985,1984,4.5,llano,-0.5866772,-1.333036643
-97.469,30.179,1,1985,1984,6.2,lostP,0.426622466,0.969363357
-95.551,30.7233,1,1985,1984,6.3,shsu,1.270745451,2.887363357
-99.2906,34.1511,1,1985,1984,2,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,1,1985,1984,0.2,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,1,1985,1984,-0.8,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,1,1985,1984,-0.5,elreno,0.211630768,0.480863357
-97.672833,37.538006,1,1985,1984,-2.6,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,1,1985,1984,-3.2,psu,1.645407545,3.738663357
-101.8833,33.5667,1,1985,1984,1.8,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,1,1985,1984,3.4,llela,0.648699869,1.473963357
-95.920129,29.920887,1,1985,1984,7.5,Katy,1.108289626,2.518234357
-98.514125,33.913161,1,1985,1984,2.2,wf,-0.033343141,-0.075761643
-101.2,30.71,1,1986,1985,9.1,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,1,1986,1985,10.3,llano,-0.5866772,-1.333036643
-97.469,30.179,1,1986,1985,11.2,lostP,0.426622466,0.969363357
-95.551,30.7233,1,1986,1985,11.1,shsu,1.270745451,2.887363357
