"","acceptedNameUsage","acceptedScientificName","acceptedTaxonKey","accessRights","adm1","adm2","associatedOccurrences","associatedSequences","associatedTaxa","basisOfRecord","bibliographicCitation","catalogNumber","class","classKey","cloc","collectionCode","collectionID","collectionKey","continent","coordinateUncertaintyInMeters","country","crawlId","dataGeneralizations","datasetID","datasetKey","datasetName","dateIdentified","day","disposition","dynamicProperties","elevation","elevationAccuracy","endDayOfYear","establishmentMeans","eventDate","eventID","eventRemarks","eventTime","family","familyKey","fieldNumber","footprintSRS","footprintWKT","fullCountry","gbifID","gbifRegion","genericName","genus","genusKey","geodeticDatum","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceRemarks","georeferenceSources","georeferenceVerificationStatus","habitat","higherClassification","higherGeography","hostingOrganizationKey","http://unknown.org/captive","http://unknown.org/nick","http://unknown.org/recordEnteredBy","http://unknown.org/recordID","identificationID","identificationQualifier","identificationReferences","identificationRemarks","identifiedBy","identifier","individualCount","informationWithheld","infraspecificEpithet","installationKey","institutionCode","institutionID","institutionKey","isInCluster","ISO2","isSequenced","iucnRedListCategory","key","kingdom","kingdomKey","language","lastCrawled","lastInterpreted","lastParsed","lat","license","lifeStage","locality","locationAccordingTo","locationID","locationRemarks","lon","modified","month","municipality","nomenclaturalCode","nomenclaturalStatus","occurrenceID","occurrenceRemarks","occurrenceStatus","order","orderKey","organismID","otherCatalogNumbers","ownerInstitutionCode","phylum","phylumKey","preparations","previousIdentifications","projectId","protocol","publishedByGbifRegion","publishingCountry","publishingOrgKey","recordedBy","recordNumber","references","reproductiveCondition","rights","rightsHolder","scientificName","scientificNameID","sex","species","speciesKey","specificEpithet","startDayOfYear","taxonConceptID","taxonID","taxonKey","taxonomicStatus","taxonRank","taxonRemarks","type","typeStatus","verbatimCoordinateSystem","verbatimElevation","verbatimEventDate","verbatimIdentification","verbatimLocality","verbatimTaxonRank","year","downloadDate"
"1",NA,"Poa arachnifera Torr.",2704324,NA,"Texas",NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,"201966819","Liliopsida",196,"Texas, United States, NORTH_AMERICA","Observations",NA,NA,"NORTH_AMERICA",3,"United States",482,NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2024-03-10T20:49:26",9,NA,NA,NA,NA,69,NA,"2024-03-09T13:12",NA,NA,"13:12:00-06:00","Poaceae",3073,NA,NA,NA,"United States of America","4597427601","NORTH_AMERICA","Poa","Poa",2704173,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","wild","postoak",NA,NA,"458606082",NA,NA,NA,"JG Miller","201966819",NA,NA,NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,NA,FALSE,"US",FALSE,"NE",4597427601,"Plantae",6,NA,"2024-08-28T11:44:48.200+00:00","2024-08-29T05:33:44.058+00:00","2024-08-29T05:33:44.058+00:00",32.662953,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,NA,NA,-97.222611,"2024-03-11T15:17:14.000+00:00",3,NA,NA,NA,"https://www.inaturalist.org/observations/201966819",NA,"PRESENT","Poales",1369,NA,NA,NA,"Tracheophyta",7707728,NA,NA,NA,"DWC_ARCHIVE","NORTH_AMERICA","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","JG Miller",NA,"https://www.inaturalist.org/observations/201966819",NA,NA,"JG Miller","Poa arachnifera Torr.",NA,NA,"Poa arachnifera",2704324,"arachnifera",69,NA,"167077",2704324,"ACCEPTED","SPECIES",NA,NA,NA,NA,NA,"2024/03/09 1:12 PM",NA,"Southwest Arlington, Arlington, TX, USA",NA,2024,2024-09-05
"2",NA,"Poa arachnifera Torr.",2704324,NA,"Texas",NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,"202921554","Liliopsida",196,"Texas, United States, NORTH_AMERICA","Observations",NA,NA,"NORTH_AMERICA",NA,"United States",482,NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2024-03-18T02:25:45",17,NA,NA,NA,NA,77,NA,"2024-03-17T17:38:16",NA,NA,"17:38:16-05:00","Poaceae",3073,NA,NA,NA,"United States of America","4599755562","NORTH_AMERICA","Poa","Poa",2704173,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","wild","mputtonen",NA,NA,"460869234",NA,NA,NA,"Michael A. Puttonen","202921554",NA,NA,NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,NA,FALSE,"US",FALSE,"NE",4599755562,"Plantae",6,NA,"2024-08-28T11:44:48.200+00:00","2024-08-29T05:32:23.914+00:00","2024-08-29T05:32:23.914+00:00",32.764538,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,NA,NA,-96.756576,"2024-03-21T19:51:28.000+00:00",3,NA,NA,NA,"https://www.inaturalist.org/observations/202921554",NA,"PRESENT","Poales",1369,NA,NA,NA,"Tracheophyta",7707728,NA,NA,NA,"DWC_ARCHIVE","NORTH_AMERICA","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Michael A. Puttonen",NA,"https://www.inaturalist.org/observations/202921554",NA,NA,"Michael A. Puttonen","Poa arachnifera Torr.",NA,NA,"Poa arachnifera",2704324,"arachnifera",77,NA,"167077",2704324,"ACCEPTED","SPECIES",NA,NA,NA,NA,NA,"2024-03-17 17:38:16",NA,"Wheatley Place, Dallas, TX 75215, USA",NA,2024,2024-09-05
"3",NA,"Poa arachnifera Torr.",2704324,NA,"Texas",NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,"203599114","Liliopsida",196,"Texas, United States, NORTH_AMERICA","Observations",NA,NA,"NORTH_AMERICA",7,"United States",482,NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2024-03-23T15:23:46",23,NA,NA,NA,NA,83,NA,"2024-03-23T09:23:02",NA,NA,"09:23:02-05:00","Poaceae",3073,NA,NA,NA,"United States of America","4599909817","NORTH_AMERICA","Poa","Poa",2704173,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","wild","sambiology",NA,NA,"462544059",NA,NA,NA,"Sam Kieschnick","203599114",NA,NA,NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,NA,FALSE,"US",FALSE,"NE",4599909817,"Plantae",6,NA,"2024-08-28T11:44:48.200+00:00","2024-08-29T06:15:22.043+00:00","2024-08-29T06:15:22.043+00:00",32.625307,"http://creativecommons.org/licenses/by/4.0/legalcode",NA,NA,NA,NA,NA,-97.422473,"2024-03-23T16:33:34.000+00:00",3,NA,NA,NA,"https://www.inaturalist.org/observations/203599114",NA,"PRESENT","Poales",1369,NA,NA,NA,"Tracheophyta",7707728,NA,NA,NA,"DWC_ARCHIVE","NORTH_AMERICA","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Sam Kieschnick",NA,"https://www.inaturalist.org/observations/203599114",NA,NA,"Sam Kieschnick","Poa arachnifera Torr.",NA,NA,"Poa arachnifera",2704324,"arachnifera",83,NA,"167077",2704324,"ACCEPTED","SPECIES",NA,NA,NA,NA,NA,"2024-03-23 09:23:02-05:00",NA,"Southwest Fort Worth, Fort Worth, TX, US",NA,2024,2024-09-05
"4",NA,"Poa arachnifera Torr.",2704324,NA,"Texas",NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,"203602171","Liliopsida",196,"Texas, United States, NORTH_AMERICA","Observations",NA,NA,"NORTH_AMERICA",3,"United States",482,NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2024-03-23T15:47:16",23,NA,NA,NA,NA,83,NA,"2024-03-23T10:47:08",NA,NA,"10:47:08-05:00","Poaceae",3073,NA,NA,NA,"United States of America","4599888815","NORTH_AMERICA","Poa","Poa",2704173,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","wild","observerjosh",NA,NA,"462550427",NA,NA,NA,"Josh/Joshua","203602171",NA,NA,NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,NA,FALSE,"US",FALSE,"NE",4599888815,"Plantae",6,NA,"2024-08-28T11:44:48.200+00:00","2024-08-29T06:16:25.815+00:00","2024-08-29T06:16:25.815+00:00",32.625351,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,NA,NA,-97.423434,"2024-03-24T03:16:46.000+00:00",3,NA,NA,NA,"https://www.inaturalist.org/observations/203602171",NA,"PRESENT","Poales",1369,NA,NA,NA,"Tracheophyta",7707728,NA,NA,NA,"DWC_ARCHIVE","NORTH_AMERICA","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Josh/Joshua",NA,"https://www.inaturalist.org/observations/203602171",NA,NA,"Josh/Joshua","Poa arachnifera Torr.",NA,NA,"Poa arachnifera",2704324,"arachnifera",83,NA,"167077",2704324,"ACCEPTED","SPECIES",NA,NA,NA,NA,NA,"2024-03-23 10:47:08-05:00",NA,"Southwest Fort Worth, Fort Worth, TX, US",NA,2024,2024-09-05
"5",NA,"Poa arachnifera Torr.",2704324,NA,"Texas",NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,"203620640","Liliopsida",196,"Texas, United States, NORTH_AMERICA","Observations",NA,NA,"NORTH_AMERICA",4,"United States",482,NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2024-03-23T23:52:00",23,NA,NA,NA,NA,83,NA,"2024-03-23T12:54:15",NA,NA,"12:54:15-05:00","Poaceae",3073,NA,NA,NA,"United States of America","4600061930","NORTH_AMERICA","Poa","Poa",2704173,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","wild","calozie",NA,NA,"462693128",NA,NA,NA,"Sam Kieschnick","203620640",NA,NA,NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,NA,FALSE,"US",FALSE,"NE",4600061930,"Plantae",6,NA,"2024-08-28T11:44:48.200+00:00","2024-08-29T05:34:12.325+00:00","2024-08-29T05:34:12.325+00:00",32.588733,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,NA,NA,-97.099175,"2024-03-24T15:06:59.000+00:00",3,NA,NA,NA,"https://www.inaturalist.org/observations/203620640",NA,"PRESENT","Poales",1369,NA,NA,NA,"Tracheophyta",7707728,NA,NA,NA,"DWC_ARCHIVE","NORTH_AMERICA","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","calozie",NA,"https://www.inaturalist.org/observations/203620640",NA,NA,"calozie","Poa arachnifera Torr.",NA,NA,"Poa arachnifera",2704324,"arachnifera",83,NA,"167077",2704324,"ACCEPTED","SPECIES",NA,NA,NA,NA,NA,"2024-03-23 12:54:15-05:00",NA,"Elmer W. Oliver Nature Park, Mansfield, TX, US",NA,2024,2024-09-05
"6",NA,"Poa arachnifera Torr.",2704324,NA,"Texas",NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,"203650885","Liliopsida",196,"Texas, United States, NORTH_AMERICA","Observations",NA,NA,"NORTH_AMERICA",4,"United States",482,NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2024-03-25T20:57:39",23,NA,NA,NA,NA,83,NA,"2024-03-23T16:42:42",NA,NA,"16:42:42-05:00","Poaceae",3073,NA,NA,NA,"United States of America","4863948934","NORTH_AMERICA","Poa","Poa",2704173,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","wild","saranorman",NA,NA,"463323981",NA,NA,NA,"Cleveland Powell","203650885",NA,NA,NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,NA,FALSE,"US",FALSE,"NE",4863948934,"Plantae",6,NA,"2024-08-28T11:44:48.200+00:00","2024-08-29T05:34:58.797+00:00","2024-08-29T05:34:58.797+00:00",33.180639,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,NA,NA,-97.131207,"2024-05-14T17:36:02.000+00:00",3,NA,NA,NA,"https://www.inaturalist.org/observations/203650885",NA,"PRESENT","Poales",1369,NA,NA,NA,"Tracheophyta",7707728,NA,NA,NA,"DWC_ARCHIVE","NORTH_AMERICA","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","saranorman",NA,"https://www.inaturalist.org/observations/203650885",NA,NA,"saranorman","Poa arachnifera Torr.",NA,NA,"Poa arachnifera",2704324,"arachnifera",83,NA,"167077",2704324,"ACCEPTED","SPECIES",NA,NA,NA,NA,NA,"2024-03-23 16:42:42-05:00",NA,"South Lakes Park & Eureka Playground, Denton, TX, US",NA,2024,2024-09-05
"7",NA,"Poa arachnifera Torr.",2704324,NA,"Texas",NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,"203682743","Liliopsida",196,"Texas, United States, NORTH_AMERICA","Observations",NA,NA,"NORTH_AMERICA",142,"United States",482,NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2024-03-24T02:16:43",23,NA,NA,NA,NA,83,NA,"2024-03-23T21:16:32",NA,NA,"21:16:32-05:00","Poaceae",3073,NA,NA,NA,"United States of America","4599804147","NORTH_AMERICA","Poa","Poa",2704173,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","wild","gage_salyer",NA,NA,"462727919",NA,NA,NA,"gage_salyer","203682743",NA,NA,NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,NA,FALSE,"US",FALSE,"NE",4599804147,"Plantae",6,NA,"2024-08-28T11:44:48.200+00:00","2024-08-29T05:34:17.864+00:00","2024-08-29T05:34:17.864+00:00",30.471986,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,NA,NA,-99.783313,"2024-03-25T20:51:13.000+00:00",3,NA,NA,NA,"https://www.inaturalist.org/observations/203682743",NA,"PRESENT","Poales",1369,NA,NA,NA,"Tracheophyta",7707728,NA,NA,NA,"DWC_ARCHIVE","NORTH_AMERICA","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","gage_salyer",NA,"https://www.inaturalist.org/observations/203682743",NA,NA,"gage_salyer","Poa arachnifera Torr.",NA,NA,"Poa arachnifera",2704324,"arachnifera",83,NA,"167077",2704324,"ACCEPTED","SPECIES",NA,NA,NA,NA,NA,"2024-03-23 21:16:32-05:00",NA,"Junction, TX, US",NA,2024,2024-09-05
"8",NA,"Poa arachnifera Torr.",2704324,NA,"Texas",NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,"203682755","Liliopsida",196,"Texas, United States, NORTH_AMERICA","Observations",NA,NA,"NORTH_AMERICA",4,"United States",482,NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2024-03-24T02:16:47",23,NA,NA,NA,NA,83,NA,"2024-03-23T21:16:39",NA,NA,"21:16:39-05:00","Poaceae",3073,NA,NA,NA,"United States of America","4600061104","NORTH_AMERICA","Poa","Poa",2704173,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","wild","lukeduenes",NA,NA,"462727941",NA,NA,NA,"lukeduenes","203682755",NA,NA,NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,NA,FALSE,"US",FALSE,"NE",4600061104,"Plantae",6,NA,"2024-08-28T11:44:48.200+00:00","2024-08-29T05:37:19.261+00:00","2024-08-29T05:37:19.261+00:00",30.472026,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,NA,NA,-99.783304,"2024-03-25T20:51:11.000+00:00",3,NA,NA,NA,"https://www.inaturalist.org/observations/203682755",NA,"PRESENT","Poales",1369,NA,NA,NA,"Tracheophyta",7707728,NA,NA,NA,"DWC_ARCHIVE","NORTH_AMERICA","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","lukeduenes",NA,"https://www.inaturalist.org/observations/203682755",NA,NA,"lukeduenes","Poa arachnifera Torr.",NA,NA,"Poa arachnifera",2704324,"arachnifera",83,NA,"167077",2704324,"ACCEPTED","SPECIES",NA,NA,NA,NA,NA,"2024-03-23 21:16:39-05:00",NA,"Junction, TX, US",NA,2024,2024-09-05
"9",NA,"Poa arachnifera Torr.",2704324,NA,"Texas",NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,"203739482","Liliopsida",196,"Texas, United States, NORTH_AMERICA","Observations",NA,NA,"NORTH_AMERICA",8,"United States",482,NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2024-03-24T14:26:16",24,NA,NA,NA,NA,84,NA,"2024-03-24T09:26:05",NA,NA,"09:26:05-05:00","Poaceae",3073,NA,NA,NA,"United States of America","4600174221","NORTH_AMERICA","Poa","Poa",2704173,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","wild","kristin_steed",NA,NA,"462860288",NA,NA,NA,"kristin_steed","203739482",NA,NA,NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,NA,FALSE,"US",FALSE,"NE",4600174221,"Plantae",6,NA,"2024-08-28T11:44:48.200+00:00","2024-08-29T06:15:34.461+00:00","2024-08-29T06:15:34.461+00:00",30.471662,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,NA,NA,-99.783143,"2024-03-25T20:37:40.000+00:00",3,NA,NA,NA,"https://www.inaturalist.org/observations/203739482",NA,"PRESENT","Poales",1369,NA,NA,NA,"Tracheophyta",7707728,NA,NA,NA,"DWC_ARCHIVE","NORTH_AMERICA","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","kristin_steed",NA,"https://www.inaturalist.org/observations/203739482",NA,NA,"kristin_steed","Poa arachnifera Torr.",NA,NA,"Poa arachnifera",2704324,"arachnifera",84,NA,"167077",2704324,"ACCEPTED","SPECIES",NA,NA,NA,NA,NA,"2024-03-24 09:26:05-05:00",NA,"Junction, TX, US",NA,2024,2024-09-05
"10",NA,"Poa arachnifera Torr.",2704324,NA,"Texas",NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,"203931301","Liliopsida",196,"Texas, United States, NORTH_AMERICA","Observations",NA,NA,"NORTH_AMERICA",4,"United States",482,NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2024-03-25T20:21:05",21,NA,NA,NA,NA,81,NA,"2024-03-21T15:39:03",NA,NA,"15:39:03-05:00","Poaceae",3073,NA,NA,NA,"United States of America","4599879746","NORTH_AMERICA","Poa","Poa",2704173,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","wild","tcraigbowen",NA,NA,"463312603",NA,NA,NA,"tcraigbowen","203931301",NA,NA,NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,NA,FALSE,"US",FALSE,"NE",4599879746,"Plantae",6,NA,"2024-08-28T11:44:48.200+00:00","2024-08-29T05:36:58.861+00:00","2024-08-29T05:36:58.861+00:00",33.394008,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,NA,NA,-99.192187,"2024-03-25T20:44:54.000+00:00",3,NA,NA,NA,"https://www.inaturalist.org/observations/203931301",NA,"PRESENT","Poales",1369,NA,NA,NA,"Tracheophyta",7707728,NA,NA,NA,"DWC_ARCHIVE","NORTH_AMERICA","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","tcraigbowen",NA,"https://www.inaturalist.org/observations/203931301",NA,NA,"tcraigbowen","Poa arachnifera Torr.",NA,NA,"Poa arachnifera",2704324,"arachnifera",81,NA,"167077",2704324,"ACCEPTED","SPECIES",NA,NA,NA,NA,NA,"2024-03-21 15:39:03-05:00",NA,"Newcastle, TX, US",NA,2024,2024-09-05
