"transition","site","Longitude","Latitude","long.scaled","long.center","season","pr"
"1978-1979","buffalolake",-101.8453,35.1992,-1.49941268406746,-3.40693664285713,"gs",181.62
"1978-1979","elreno",-97.9575,35.5303,0.211630767632538,0.480863357142866,"gs",353.98
"1978-1979","Katy",-95.920129,29.920887,1.10828962565854,2.51823435714286,"gs",746.47
"1978-1979","llano",-99.7714,30.4897,-0.586677200122656,-1.33303664285714,"gs",250.07
"1978-1979","llela",-96.9644,33.0692,0.648699868893731,1.47396335714286,"gs",518.7
"1978-1979","lostP",-97.469,30.179,0.426622466319573,0.969363357142868,"gs",486.45
"1978-1979","lubbock",-101.8833,33.5667,-1.51613670566441,-3.44493664285714,"gs",206.1
"1978-1979","ninnescah",-97.672833,37.538006,0.33691437436773,0.765530357142865,"gs",346.55
"1978-1979","ozona",-101.2,30.71,-1.21541239100146,-2.76163664285714,"gs",157.86
"1978-1979","psu",-94.6997,37.4103,1.64540754548846,3.73866335714285,"gs",403.74
"1978-1979","shsu",-95.551,30.7233,1.27074545113376,2.88736335714286,"gs",842.64
"1978-1979","vernon",-99.2906,34.1511,-0.375074316338159,-0.852236642857136,"gs",286.71
"1978-1979","wf",-98.514125,33.913161,-0.0333431408253389,-0.0757616428571453,"gs",320.24
"1978-1979","woodward",-99.3978,36.4331,-0.422253661474805,-0.959436642857142,"gs",327.6
"1979-1980","buffalolake",-101.8453,35.1992,-1.49941268406746,-3.40693664285713,"ds",281.94
"1979-1980","buffalolake",-101.8453,35.1992,-1.49941268406746,-3.40693664285713,"gs",246.3
"1979-1980","elreno",-97.9575,35.5303,0.211630767632538,0.480863357142866,"ds",395.31
"1979-1980","elreno",-97.9575,35.5303,0.211630767632538,0.480863357142866,"gs",543.35
"1979-1980","Katy",-95.920129,29.920887,1.10828962565854,2.51823435714286,"ds",537.42
"1979-1980","Katy",-95.920129,29.920887,1.10828962565854,2.51823435714286,"gs",683.63
"1979-1980","llano",-99.7714,30.4897,-0.586677200122656,-1.33303664285714,"ds",278.71
"1979-1980","llano",-99.7714,30.4897,-0.586677200122656,-1.33303664285714,"gs",253.86
"1979-1980","llela",-96.9644,33.0692,0.648699868893731,1.47396335714286,"ds",179.89
"1979-1980","llela",-96.9644,33.0692,0.648699868893731,1.47396335714286,"gs",357.28
"1979-1980","lostP",-97.469,30.179,0.426622466319573,0.969363357142868,"ds",273.52
"1979-1980","lostP",-97.469,30.179,0.426622466319573,0.969363357142868,"gs",476.49
"1979-1980","lubbock",-101.8833,33.5667,-1.51613670566441,-3.44493664285714,"ds",253.66
"1979-1980","lubbock",-101.8833,33.5667,-1.51613670566441,-3.44493664285714,"gs",195.86
"1979-1980","ninnescah",-97.672833,37.538006,0.33691437436773,0.765530357142865,"ds",279.82
"1979-1980","ninnescah",-97.672833,37.538006,0.33691437436773,0.765530357142865,"gs",483.05
"1979-1980","ozona",-101.2,30.71,-1.21541239100146,-2.76163664285714,"ds",182.04
"1979-1980","ozona",-101.2,30.71,-1.21541239100146,-2.76163664285714,"gs",175.7
"1979-1980","psu",-94.6997,37.4103,1.64540754548846,3.73866335714285,"ds",416.29
"1979-1980","psu",-94.6997,37.4103,1.64540754548846,3.73866335714285,"gs",610.63
"1979-1980","shsu",-95.551,30.7233,1.27074545113376,2.88736335714286,"ds",607.05
"1979-1980","shsu",-95.551,30.7233,1.27074545113376,2.88736335714286,"gs",704.54
"1979-1980","vernon",-99.2906,34.1511,-0.375074316338159,-0.852236642857136,"ds",281.4
"1979-1980","vernon",-99.2906,34.1511,-0.375074316338159,-0.852236642857136,"gs",371.85
"1979-1980","wf",-98.514125,33.913161,-0.0333431408253389,-0.0757616428571453,"ds",268.66
"1979-1980","wf",-98.514125,33.913161,-0.0333431408253389,-0.0757616428571453,"gs",379.25
"1979-1980","woodward",-99.3978,36.4331,-0.422253661474805,-0.959436642857142,"ds",264.65
"1979-1980","woodward",-99.3978,36.4331,-0.422253661474805,-0.959436642857142,"gs",489.32
"1980-1981","buffalolake",-101.8453,35.1992,-1.49941268406746,-3.40693664285713,"ds",153.31
"1980-1981","buffalolake",-101.8453,35.1992,-1.49941268406746,-3.40693664285713,"gs",190.47
"1980-1981","elreno",-97.9575,35.5303,0.211630767632538,0.480863357142866,"ds",125.55
"1980-1981","elreno",-97.9575,35.5303,0.211630767632538,0.480863357142866,"gs",297.02
"1980-1981","Katy",-95.920129,29.920887,1.10828962565854,2.51823435714286,"ds",274.24
"1980-1981","Katy",-95.920129,29.920887,1.10828962565854,2.51823435714286,"gs",656.85
"1980-1981","llano",-99.7714,30.4897,-0.586677200122656,-1.33303664285714,"ds",324.9
"1980-1981","llano",-99.7714,30.4897,-0.586677200122656,-1.33303664285714,"gs",360.87
"1980-1981","llela",-96.9644,33.0692,0.648699868893731,1.47396335714286,"ds",235.66
"1980-1981","llela",-96.9644,33.0692,0.648699868893731,1.47396335714286,"gs",517.35
"1980-1981","lostP",-97.469,30.179,0.426622466319573,0.969363357142868,"ds",160.08
"1980-1981","lostP",-97.469,30.179,0.426622466319573,0.969363357142868,"gs",489.62
"1980-1981","lubbock",-101.8833,33.5667,-1.51613670566441,-3.44493664285714,"ds",191.64
"1980-1981","lubbock",-101.8833,33.5667,-1.51613670566441,-3.44493664285714,"gs",240.17
"1980-1981","ninnescah",-97.672833,37.538006,0.33691437436773,0.765530357142865,"ds",185.81
"1980-1981","ninnescah",-97.672833,37.538006,0.33691437436773,0.765530357142865,"gs",331.84
"1980-1981","ozona",-101.2,30.71,-1.21541239100146,-2.76163664285714,"ds",218.45
"1980-1981","ozona",-101.2,30.71,-1.21541239100146,-2.76163664285714,"gs",414.59
"1980-1981","psu",-94.6997,37.4103,1.64540754548846,3.73866335714285,"ds",209.85
"1980-1981","psu",-94.6997,37.4103,1.64540754548846,3.73866335714285,"gs",457.09
"1980-1981","shsu",-95.551,30.7233,1.27074545113376,2.88736335714286,"ds",188.07
"1980-1981","shsu",-95.551,30.7233,1.27074545113376,2.88736335714286,"gs",551.56
"1980-1981","vernon",-99.2906,34.1511,-0.375074316338159,-0.852236642857136,"ds",105.43
"1980-1981","vernon",-99.2906,34.1511,-0.375074316338159,-0.852236642857136,"gs",314.75
"1980-1981","wf",-98.514125,33.913161,-0.0333431408253389,-0.0757616428571453,"ds",264.14
"1980-1981","wf",-98.514125,33.913161,-0.0333431408253389,-0.0757616428571453,"gs",455.13
"1980-1981","woodward",-99.3978,36.4331,-0.422253661474805,-0.959436642857142,"ds",111.2
"1980-1981","woodward",-99.3978,36.4331,-0.422253661474805,-0.959436642857142,"gs",260.95
"1981-1982","buffalolake",-101.8453,35.1992,-1.49941268406746,-3.40693664285713,"ds",391.24
"1981-1982","buffalolake",-101.8453,35.1992,-1.49941268406746,-3.40693664285713,"gs",188.08
"1981-1982","elreno",-97.9575,35.5303,0.211630767632538,0.480863357142866,"ds",425.61
"1981-1982","elreno",-97.9575,35.5303,0.211630767632538,0.480863357142866,"gs",677.98
"1981-1982","Katy",-95.920129,29.920887,1.10828962565854,2.51823435714286,"ds",490.41
"1981-1982","Katy",-95.920129,29.920887,1.10828962565854,2.51823435714286,"gs",686.86
"1981-1982","llano",-99.7714,30.4897,-0.586677200122656,-1.33303664285714,"ds",259.57
"1981-1982","llano",-99.7714,30.4897,-0.586677200122656,-1.33303664285714,"gs",366.82
"1981-1982","llela",-96.9644,33.0692,0.648699868893731,1.47396335714286,"ds",345.12
"1981-1982","llela",-96.9644,33.0692,0.648699868893731,1.47396335714286,"gs",1053.03
"1981-1982","lostP",-97.469,30.179,0.426622466319573,0.969363357142868,"ds",446.39
"1981-1982","lostP",-97.469,30.179,0.426622466319573,0.969363357142868,"gs",556.65
"1981-1982","lubbock",-101.8833,33.5667,-1.51613670566441,-3.44493664285714,"ds",282.41
"1981-1982","lubbock",-101.8833,33.5667,-1.51613670566441,-3.44493664285714,"gs",366.64
"1981-1982","ninnescah",-97.672833,37.538006,0.33691437436773,0.765530357142865,"ds",271.77
"1981-1982","ninnescah",-97.672833,37.538006,0.33691437436773,0.765530357142865,"gs",539.29
"1981-1982","ozona",-101.2,30.71,-1.21541239100146,-2.76163664285714,"ds",143.81
"1981-1982","ozona",-101.2,30.71,-1.21541239100146,-2.76163664285714,"gs",291.17
"1981-1982","psu",-94.6997,37.4103,1.64540754548846,3.73866335714285,"ds",474.34
"1981-1982","psu",-94.6997,37.4103,1.64540754548846,3.73866335714285,"gs",746.39
"1981-1982","shsu",-95.551,30.7233,1.27074545113376,2.88736335714286,"ds",590.97
"1981-1982","shsu",-95.551,30.7233,1.27074545113376,2.88736335714286,"gs",820.95
"1981-1982","vernon",-99.2906,34.1511,-0.375074316338159,-0.852236642857136,"ds",237.81
"1981-1982","vernon",-99.2906,34.1511,-0.375074316338159,-0.852236642857136,"gs",455.94
"1981-1982","wf",-98.514125,33.913161,-0.0333431408253389,-0.0757616428571453,"ds",218.31
"1981-1982","wf",-98.514125,33.913161,-0.0333431408253389,-0.0757616428571453,"gs",738.84
"1981-1982","woodward",-99.3978,36.4331,-0.422253661474805,-0.959436642857142,"ds",229.3
"1981-1982","woodward",-99.3978,36.4331,-0.422253661474805,-0.959436642857142,"gs",576.89
"1982-1983","buffalolake",-101.8453,35.1992,-1.49941268406746,-3.40693664285713,"ds",305.05
"1982-1983","buffalolake",-101.8453,35.1992,-1.49941268406746,-3.40693664285713,"gs",245.29
"1982-1983","elreno",-97.9575,35.5303,0.211630767632538,0.480863357142866,"ds",233.47
"1982-1983","elreno",-97.9575,35.5303,0.211630767632538,0.480863357142866,"gs",455.21
"1982-1983","Katy",-95.920129,29.920887,1.10828962565854,2.51823435714286,"ds",146.04
"1982-1983","Katy",-95.920129,29.920887,1.10828962565854,2.51823435714286,"gs",1014.9
"1982-1983","llano",-99.7714,30.4897,-0.586677200122656,-1.33303664285714,"ds",121.52
"1982-1983","llano",-99.7714,30.4897,-0.586677200122656,-1.33303664285714,"gs",320.05
"1982-1983","llela",-96.9644,33.0692,0.648699868893731,1.47396335714286,"ds",224
"1982-1983","llela",-96.9644,33.0692,0.648699868893731,1.47396335714286,"gs",563.16
"1982-1983","lostP",-97.469,30.179,0.426622466319573,0.969363357142868,"ds",147.46
"1982-1983","lostP",-97.469,30.179,0.426622466319573,0.969363357142868,"gs",678.36
"1982-1983","lubbock",-101.8833,33.5667,-1.51613670566441,-3.44493664285714,"ds",246.57
"1982-1983","lubbock",-101.8833,33.5667,-1.51613670566441,-3.44493664285714,"gs",245.78
"1982-1983","ninnescah",-97.672833,37.538006,0.33691437436773,0.765530357142865,"ds",319.31
"1982-1983","ninnescah",-97.672833,37.538006,0.33691437436773,0.765530357142865,"gs",493.92
"1982-1983","ozona",-101.2,30.71,-1.21541239100146,-2.76163664285714,"ds",88.61
"1982-1983","ozona",-101.2,30.71,-1.21541239100146,-2.76163664285714,"gs",222.23
"1982-1983","psu",-94.6997,37.4103,1.64540754548846,3.73866335714285,"ds",375.83
"1982-1983","psu",-94.6997,37.4103,1.64540754548846,3.73866335714285,"gs",830.2
"1982-1983","shsu",-95.551,30.7233,1.27074545113376,2.88736335714286,"ds",253.32
"1982-1983","shsu",-95.551,30.7233,1.27074545113376,2.88736335714286,"gs",1020.28
"1982-1983","vernon",-99.2906,34.1511,-0.375074316338159,-0.852236642857136,"ds",245.91
"1982-1983","vernon",-99.2906,34.1511,-0.375074316338159,-0.852236642857136,"gs",369.35
"1982-1983","wf",-98.514125,33.913161,-0.0333431408253389,-0.0757616428571453,"ds",290.9
"1982-1983","wf",-98.514125,33.913161,-0.0333431408253389,-0.0757616428571453,"gs",474.95
"1982-1983","woodward",-99.3978,36.4331,-0.422253661474805,-0.959436642857142,"ds",181.29
"1982-1983","woodward",-99.3978,36.4331,-0.422253661474805,-0.959436642857142,"gs",334.48
"1983-1984","buffalolake",-101.8453,35.1992,-1.49941268406746,-3.40693664285713,"ds",108.08
"1983-1984","buffalolake",-101.8453,35.1992,-1.49941268406746,-3.40693664285713,"gs",189.29
"1983-1984","elreno",-97.9575,35.5303,0.211630767632538,0.480863357142866,"ds",256.26
"1983-1984","elreno",-97.9575,35.5303,0.211630767632538,0.480863357142866,"gs",533.96
"1983-1984","Katy",-95.920129,29.920887,1.10828962565854,2.51823435714286,"ds",559.04
"1983-1984","Katy",-95.920129,29.920887,1.10828962565854,2.51823435714286,"gs",495.7
"1983-1984","llano",-99.7714,30.4897,-0.586677200122656,-1.33303664285714,"ds",161.07
"1983-1984","llano",-99.7714,30.4897,-0.586677200122656,-1.33303664285714,"gs",176.58
"1983-1984","llela",-96.9644,33.0692,0.648699868893731,1.47396335714286,"ds",190.67
"1983-1984","llela",-96.9644,33.0692,0.648699868893731,1.47396335714286,"gs",530.86
"1983-1984","lostP",-97.469,30.179,0.426622466319573,0.969363357142868,"ds",325.83
"1983-1984","lostP",-97.469,30.179,0.426622466319573,0.969363357142868,"gs",274.7
"1983-1984","lubbock",-101.8833,33.5667,-1.51613670566441,-3.44493664285714,"ds",92.62
"1983-1984","lubbock",-101.8833,33.5667,-1.51613670566441,-3.44493664285714,"gs",281.61
"1983-1984","ninnescah",-97.672833,37.538006,0.33691437436773,0.765530357142865,"ds",318.61
"1983-1984","ninnescah",-97.672833,37.538006,0.33691437436773,0.765530357142865,"gs",552.77
"1983-1984","ozona",-101.2,30.71,-1.21541239100146,-2.76163664285714,"ds",100.68
"1983-1984","ozona",-101.2,30.71,-1.21541239100146,-2.76163664285714,"gs",260.48
"1983-1984","psu",-94.6997,37.4103,1.64540754548846,3.73866335714285,"ds",330.8
"1983-1984","psu",-94.6997,37.4103,1.64540754548846,3.73866335714285,"gs",856.62
"1983-1984","shsu",-95.551,30.7233,1.27074545113376,2.88736335714286,"ds",529.97
"1983-1984","shsu",-95.551,30.7233,1.27074545113376,2.88736335714286,"gs",646.77
"1983-1984","vernon",-99.2906,34.1511,-0.375074316338159,-0.852236642857136,"ds",141.83
"1983-1984","vernon",-99.2906,34.1511,-0.375074316338159,-0.852236642857136,"gs",431.27
"1983-1984","wf",-98.514125,33.913161,-0.0333431408253389,-0.0757616428571453,"ds",119.42
"1983-1984","wf",-98.514125,33.913161,-0.0333431408253389,-0.0757616428571453,"gs",392.27
"1983-1984","woodward",-99.3978,36.4331,-0.422253661474805,-0.959436642857142,"ds",219.05
"1983-1984","woodward",-99.3978,36.4331,-0.422253661474805,-0.959436642857142,"gs",332.24
"1984-1985","buffalolake",-101.8453,35.1992,-1.49941268406746,-3.40693664285713,"ds",243.14
"1984-1985","buffalolake",-101.8453,35.1992,-1.49941268406746,-3.40693664285713,"gs",325.42
"1984-1985","elreno",-97.9575,35.5303,0.211630767632538,0.480863357142866,"ds",172.88
"1984-1985","elreno",-97.9575,35.5303,0.211630767632538,0.480863357142866,"gs",704.62
"1984-1985","Katy",-95.920129,29.920887,1.10828962565854,2.51823435714286,"ds",306.99
"1984-1985","Katy",-95.920129,29.920887,1.10828962565854,2.51823435714286,"gs",789.15
"1984-1985","llano",-99.7714,30.4897,-0.586677200122656,-1.33303664285714,"ds",134.11
"1984-1985","llano",-99.7714,30.4897,-0.586677200122656,-1.33303664285714,"gs",543.49
"1984-1985","llela",-96.9644,33.0692,0.648699868893731,1.47396335714286,"ds",120.77
"1984-1985","llela",-96.9644,33.0692,0.648699868893731,1.47396335714286,"gs",788.53
"1984-1985","lostP",-97.469,30.179,0.426622466319573,0.969363357142868,"ds",145.26
"1984-1985","lostP",-97.469,30.179,0.426622466319573,0.969363357142868,"gs",680
"1984-1985","lubbock",-101.8833,33.5667,-1.51613670566441,-3.44493664285714,"ds",222.96
"1984-1985","lubbock",-101.8833,33.5667,-1.51613670566441,-3.44493664285714,"gs",294.46
"1984-1985","ninnescah",-97.672833,37.538006,0.33691437436773,0.765530357142865,"ds",175.36
"1984-1985","ninnescah",-97.672833,37.538006,0.33691437436773,0.765530357142865,"gs",458.24
"1984-1985","ozona",-101.2,30.71,-1.21541239100146,-2.76163664285714,"ds",124.6
"1984-1985","ozona",-101.2,30.71,-1.21541239100146,-2.76163664285714,"gs",377.17
"1984-1985","psu",-94.6997,37.4103,1.64540754548846,3.73866335714285,"ds",216.6
"1984-1985","psu",-94.6997,37.4103,1.64540754548846,3.73866335714285,"gs",1012.51
"1984-1985","shsu",-95.551,30.7233,1.27074545113376,2.88736335714286,"ds",326.89
"1984-1985","shsu",-95.551,30.7233,1.27074545113376,2.88736335714286,"gs",984.64
"1984-1985","vernon",-99.2906,34.1511,-0.375074316338159,-0.852236642857136,"ds",134.04
"1984-1985","vernon",-99.2906,34.1511,-0.375074316338159,-0.852236642857136,"gs",548.35
"1984-1985","wf",-98.514125,33.913161,-0.0333431408253389,-0.0757616428571453,"ds",187.95
"1984-1985","wf",-98.514125,33.913161,-0.0333431408253389,-0.0757616428571453,"gs",766.64
