"transition","site","Longitude","Latitude","long.scaled","long.center","season","tas"
"1900-1901","buffalolake",-101.8453,35.1992,-1.49941268406746,-3.40693664285713,"gs",8.82
"1900-1901","elreno",-97.9575,35.5303,0.211630767632538,0.480863357142866,"gs",9.83
"1900-1901","Katy",-95.920129,29.920887,1.10828962565854,2.51823435714286,"gs",16.59
"1900-1901","llano",-99.7714,30.4897,-0.586677200122656,-1.33303664285714,"gs",15.33
"1900-1901","llela",-96.9644,33.0692,0.648699868893731,1.47396335714286,"gs",14.43
"1900-1901","lostP",-97.469,30.179,0.426622466319573,0.969363357142868,"gs",16.66
"1900-1901","lubbock",-101.8833,33.5667,-1.51613670566441,-3.44493664285714,"gs",10.83
"1900-1901","ninnescah",-97.672833,37.538006,0.33691437436773,0.765530357142865,"gs",7.3
"1900-1901","ozona",-101.2,30.71,-1.21541239100146,-2.76163664285714,"gs",14.5
"1900-1901","psu",-94.6997,37.4103,1.64540754548846,3.73866335714285,"gs",8.35
"1900-1901","shsu",-95.551,30.7233,1.27074545113376,2.88736335714286,"gs",15.91
"1900-1901","vernon",-99.2906,34.1511,-0.375074316338159,-0.852236642857136,"gs",12.54
"1900-1901","wf",-98.514125,33.913161,-0.0333431408253389,-0.0757616428571453,"gs",13.12
"1900-1901","woodward",-99.3978,36.4331,-0.422253661474805,-0.959436642857142,"gs",8.35
"1901-1902","buffalolake",-101.8453,35.1992,-1.49941268406746,-3.40693664285713,"ds",24.7
"1901-1902","buffalolake",-101.8453,35.1992,-1.49941268406746,-3.40693664285713,"gs",9.95
"1901-1902","elreno",-97.9575,35.5303,0.211630767632538,0.480863357142866,"ds",26.7625
"1901-1902","elreno",-97.9575,35.5303,0.211630767632538,0.480863357142866,"gs",10.4625
"1901-1902","Katy",-95.920129,29.920887,1.10828962565854,2.51823435714286,"ds",27.3875
"1901-1902","Katy",-95.920129,29.920887,1.10828962565854,2.51823435714286,"gs",16.83125
"1901-1902","llano",-99.7714,30.4897,-0.586677200122656,-1.33303664285714,"ds",27.775
"1901-1902","llano",-99.7714,30.4897,-0.586677200122656,-1.33303664285714,"gs",15.78125
"1901-1902","llela",-96.9644,33.0692,0.648699868893731,1.47396335714286,"ds",28.675
"1901-1902","llela",-96.9644,33.0692,0.648699868893731,1.47396335714286,"gs",14.6125
"1901-1902","lostP",-97.469,30.179,0.426622466319573,0.969363357142868,"ds",28.6
"1901-1902","lostP",-97.469,30.179,0.426622466319573,0.969363357142868,"gs",17.15
"1901-1902","lubbock",-101.8833,33.5667,-1.51613670566441,-3.44493664285714,"ds",25.6625
"1901-1902","lubbock",-101.8833,33.5667,-1.51613670566441,-3.44493664285714,"gs",12.025
"1901-1902","ninnescah",-97.672833,37.538006,0.33691437436773,0.765530357142865,"ds",26.0375
"1901-1902","ninnescah",-97.672833,37.538006,0.33691437436773,0.765530357142865,"gs",8.175
