rcp,model,longitude,latitude,unit,site,transition,season,pr
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1849-1850,gs,149.4953896
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1850-1851,ds,269.9032242
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1850-1851,gs,184.5829478
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1851-1852,ds,107.1290342
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1851-1852,gs,276.6273663
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1852-1853,ds,138.8387105
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1852-1853,gs,169.8571415
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1853-1854,ds,124.3870952
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1853-1854,gs,351.4585302
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1854-1855,ds,174.161292
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1854-1855,gs,361.854845
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1855-1856,ds,172.1612875
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1855-1856,gs,267.4961068
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1856-1857,ds,179.6774211
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1856-1857,gs,391.8824951
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1857-1858,ds,154.806454
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1857-1858,gs,221.4216597
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1858-1859,ds,261.0645164
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1858-1859,gs,263.2304112
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1859-1860,ds,99.83871051
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1859-1860,gs,271.4694122
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1860-1861,ds,168.7741958
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1860-1861,gs,263.841017
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1861-1862,ds,227.5806519
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1861-1862,gs,287.1059901
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1862-1863,ds,128.6129054
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1862-1863,gs,296.6244225
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1863-1864,ds,301.6128994
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1863-1864,gs,228.7530565
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1864-1865,ds,74.51613079
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1864-1865,gs,393.009224
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1865-1866,ds,130.870968
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1865-1866,gs,267.8433191
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1866-1867,ds,197.0322599
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1866-1867,gs,347.3847862
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1867-1868,ds,103.3870977
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1867-1868,gs,251.4582847
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1868-1869,ds,161.1612883
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1868-1869,gs,215.4861768
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1869-1870,ds,192.6774189
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1869-1870,gs,250.9423967
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1870-1871,ds,107.2580629
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1870-1871,gs,333.967743
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1871-1872,ds,321.2903184
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1871-1872,gs,254.1579544
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1872-1873,ds,116.3870979
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1872-1873,gs,306.2764985
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1873-1874,ds,204.129032
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1873-1874,gs,244.4631335
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1874-1875,ds,121.0645167
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1874-1875,gs,339.3963199
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1875-1876,ds,91.45161026
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1875-1876,gs,441.0500639
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1876-1877,ds,206.2903234
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1876-1877,gs,278.3801834
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1877-1878,ds,216.8387148
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1877-1878,gs,270.596772
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1878-1879,ds,87.32258231
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1878-1879,gs,253.9193603
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1879-1880,ds,270.2258064
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1879-1880,gs,279.6874351
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1880-1881,ds,202.1290293
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1880-1881,gs,304.5599133
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1881-1882,ds,222.7419364
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1881-1882,gs,291.8940112
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1882-1883,ds,309.3225858
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1882-1883,gs,245.2949351
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1883-1884,ds,195.4838722
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1883-1884,gs,325.4004432
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1884-1885,ds,237.4193543
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1884-1885,gs,317.3801805
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1885-1886,ds,201.4516151
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1885-1886,gs,344.691241
