"transition","site","Longitude","Latitude","long.scaled","long.center","season","pr"
"1900-1901","buffalolake",-101.8453,35.1992,-1.49941268406746,-3.40693664285713,"gs",190
"1900-1901","elreno",-97.9575,35.5303,0.211630767632538,0.480863357142866,"gs",220
"1900-1901","Katy",-95.920129,29.920887,1.10828962565854,2.51823435714286,"gs",249
"1900-1901","llano",-99.7714,30.4897,-0.586677200122656,-1.33303664285714,"gs",105
"1900-1901","llela",-96.9644,33.0692,0.648699868893731,1.47396335714286,"gs",309
"1900-1901","lostP",-97.469,30.179,0.426622466319573,0.969363357142868,"gs",183
"1900-1901","lubbock",-101.8833,33.5667,-1.51613670566441,-3.44493664285714,"gs",134
"1900-1901","ninnescah",-97.672833,37.538006,0.33691437436773,0.765530357142865,"gs",201
"1900-1901","ozona",-101.2,30.71,-1.21541239100146,-2.76163664285714,"gs",81
"1900-1901","psu",-94.6997,37.4103,1.64540754548846,3.73866335714285,"gs",257
"1900-1901","shsu",-95.551,30.7233,1.27074545113376,2.88736335714286,"gs",271
"1900-1901","vernon",-99.2906,34.1511,-0.375074316338159,-0.852236642857136,"gs",268
"1900-1901","wf",-98.514125,33.913161,-0.0333431408253389,-0.0757616428571453,"gs",230
"1900-1901","woodward",-99.3978,36.4331,-0.422253661474805,-0.959436642857142,"gs",170
"1901-1902","buffalolake",-101.8453,35.1992,-1.49941268406746,-3.40693664285713,"ds",206
"1901-1902","buffalolake",-101.8453,35.1992,-1.49941268406746,-3.40693664285713,"gs",264
"1901-1902","elreno",-97.9575,35.5303,0.211630767632538,0.480863357142866,"ds",152
"1901-1902","elreno",-97.9575,35.5303,0.211630767632538,0.480863357142866,"gs",517
"1901-1902","Katy",-95.920129,29.920887,1.10828962565854,2.51823435714286,"ds",243
"1901-1902","Katy",-95.920129,29.920887,1.10828962565854,2.51823435714286,"gs",445
"1901-1902","llano",-99.7714,30.4897,-0.586677200122656,-1.33303664285714,"ds",168
"1901-1902","llano",-99.7714,30.4897,-0.586677200122656,-1.33303664285714,"gs",194
"1901-1902","llela",-96.9644,33.0692,0.648699868893731,1.47396335714286,"ds",128
"1901-1902","llela",-96.9644,33.0692,0.648699868893731,1.47396335714286,"gs",420
"1901-1902","lostP",-97.469,30.179,0.426622466319573,0.969363357142868,"ds",152
"1901-1902","lostP",-97.469,30.179,0.426622466319573,0.969363357142868,"gs",279
"1901-1902","lubbock",-101.8833,33.5667,-1.51613670566441,-3.44493664285714,"ds",150
"1901-1902","lubbock",-101.8833,33.5667,-1.51613670566441,-3.44493664285714,"gs",177
"1901-1902","ninnescah",-97.672833,37.538006,0.33691437436773,0.765530357142865,"ds",227
"1901-1902","ninnescah",-97.672833,37.538006,0.33691437436773,0.765530357142865,"gs",405
"1901-1902","ozona",-101.2,30.71,-1.21541239100146,-2.76163664285714,"ds",133
"1901-1902","ozona",-101.2,30.71,-1.21541239100146,-2.76163664285714,"gs",190
"1901-1902","psu",-94.6997,37.4103,1.64540754548846,3.73866335714285,"ds",252
"1901-1902","psu",-94.6997,37.4103,1.64540754548846,3.73866335714285,"gs",512
"1901-1902","shsu",-95.551,30.7233,1.27074545113376,2.88736335714286,"ds",257
"1901-1902","shsu",-95.551,30.7233,1.27074545113376,2.88736335714286,"gs",459
"1901-1902","vernon",-99.2906,34.1511,-0.375074316338159,-0.852236642857136,"ds",101
"1901-1902","vernon",-99.2906,34.1511,-0.375074316338159,-0.852236642857136,"gs",368
"1901-1902","wf",-98.514125,33.913161,-0.0333431408253389,-0.0757616428571453,"ds",94
"1901-1902","wf",-98.514125,33.913161,-0.0333431408253389,-0.0757616428571453,"gs",377
"1901-1902","woodward",-99.3978,36.4331,-0.422253661474805,-0.959436642857142,"ds",116
"1901-1902","woodward",-99.3978,36.4331,-0.422253661474805,-0.959436642857142,"gs",351
"1902-1903","buffalolake",-101.8453,35.1992,-1.49941268406746,-3.40693664285713,"ds",186
"1902-1903","buffalolake",-101.8453,35.1992,-1.49941268406746,-3.40693664285713,"gs",210
"1902-1903","elreno",-97.9575,35.5303,0.211630767632538,0.480863357142866,"ds",259
"1902-1903","elreno",-97.9575,35.5303,0.211630767632538,0.480863357142866,"gs",515
"1902-1903","Katy",-95.920129,29.920887,1.10828962565854,2.51823435714286,"ds",355
"1902-1903","Katy",-95.920129,29.920887,1.10828962565854,2.51823435714286,"gs",866
"1902-1903","llano",-99.7714,30.4897,-0.586677200122656,-1.33303664285714,"ds",151
"1902-1903","llano",-99.7714,30.4897,-0.586677200122656,-1.33303664285714,"gs",341
"1902-1903","llela",-96.9644,33.0692,0.648699868893731,1.47396335714286,"ds",296
"1902-1903","llela",-96.9644,33.0692,0.648699868893731,1.47396335714286,"gs",585
"1902-1903","lostP",-97.469,30.179,0.426622466319573,0.969363357142868,"ds",278
"1902-1903","lostP",-97.469,30.179,0.426622466319573,0.969363357142868,"gs",647
"1902-1903","lubbock",-101.8833,33.5667,-1.51613670566441,-3.44493664285714,"ds",185
"1902-1903","lubbock",-101.8833,33.5667,-1.51613670566441,-3.44493664285714,"gs",162
"1902-1903","ninnescah",-97.672833,37.538006,0.33691437436773,0.765530357142865,"ds",369
"1902-1903","ninnescah",-97.672833,37.538006,0.33691437436773,0.765530357142865,"gs",415
"1902-1903","ozona",-101.2,30.71,-1.21541239100146,-2.76163664285714,"ds",176
"1902-1903","ozona",-101.2,30.71,-1.21541239100146,-2.76163664285714,"gs",287
"1902-1903","psu",-94.6997,37.4103,1.64540754548846,3.73866335714285,"ds",645
"1902-1903","psu",-94.6997,37.4103,1.64540754548846,3.73866335714285,"gs",702
"1902-1903","shsu",-95.551,30.7233,1.27074545113376,2.88736335714286,"ds",348
"1902-1903","shsu",-95.551,30.7233,1.27074545113376,2.88736335714286,"gs",846
"1902-1903","vernon",-99.2906,34.1511,-0.375074316338159,-0.852236642857136,"ds",214
"1902-1903","vernon",-99.2906,34.1511,-0.375074316338159,-0.852236642857136,"gs",401
"1902-1903","wf",-98.514125,33.913161,-0.0333431408253389,-0.0757616428571453,"ds",198
"1902-1903","wf",-98.514125,33.913161,-0.0333431408253389,-0.0757616428571453,"gs",446
"1902-1903","woodward",-99.3978,36.4331,-0.422253661474805,-0.959436642857142,"ds",200
"1902-1903","woodward",-99.3978,36.4331,-0.422253661474805,-0.959436642857142,"gs",326
"1903-1904","buffalolake",-101.8453,35.1992,-1.49941268406746,-3.40693664285713,"ds",249
"1903-1904","buffalolake",-101.8453,35.1992,-1.49941268406746,-3.40693664285713,"gs",142
"1903-1904","elreno",-97.9575,35.5303,0.211630767632538,0.480863357142866,"ds",183
"1903-1904","elreno",-97.9575,35.5303,0.211630767632538,0.480863357142866,"gs",247
"1903-1904","Katy",-95.920129,29.920887,1.10828962565854,2.51823435714286,"ds",384
"1903-1904","Katy",-95.920129,29.920887,1.10828962565854,2.51823435714286,"gs",580
"1903-1904","llano",-99.7714,30.4897,-0.586677200122656,-1.33303664285714,"ds",240
"1903-1904","llano",-99.7714,30.4897,-0.586677200122656,-1.33303664285714,"gs",203
