"location","rcp","model","longitude","latitude","unit","site","transition","season","tas"
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1849-1850","gs",16.0971282958985
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1850-1851","ds",25.6781135559083
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1850-1851","gs",15.3239494323731
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1851-1852","ds",28.4344802856445
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1851-1852","gs",15.036351776123
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1852-1853","ds",27.3513313293457
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1852-1853","gs",15.0190692901611
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1853-1854","ds",27.9310356140135
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1853-1854","gs",15.1099811553956
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1854-1855","ds",27.4309020996094
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1854-1855","gs",15.2202125549315
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1855-1856","ds",26.6950546264652
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1855-1856","gs",14.796626663208
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1856-1857","ds",26.0532051086427
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1856-1857","gs",14.0130592346192
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1857-1858","ds",26.8738342285158
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1857-1858","gs",14.9263607025148
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1858-1859","ds",26.2017646789552
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1858-1859","gs",14.4575534820556
