Longitude,Latitude,month,year,tempmax,site,long.scaled,long.center
-101.2,30.71,1,1980,16.7,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,1,1980,17.5,llano,-0.5866772,-1.333036643
-97.469,30.179,1,1980,17.9,lostP,0.426622466,0.969363357
-95.551,30.7233,1,1980,16.6,shsu,1.270745451,2.887363357
-99.2906,34.1511,1,1980,13.6,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,1,1980,12.7,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,1,1980,8.4,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,1,1980,9.8,elreno,0.211630768,0.480863357
-97.672833,37.538006,1,1980,6.1,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,1,1980,7,psu,1.645407545,3.738663357
-101.8833,33.5667,1,1980,15.3,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,1,1980,13.6,llela,0.648699869,1.473963357
-95.920129,29.920887,1,1980,18,Katy,1.108289626,2.518234357
-98.514125,33.913161,1,1980,13.6,wf,-0.033343141,-0.075761643
-101.2,30.71,1,1981,14.7,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,1,1981,16,llano,-0.5866772,-1.333036643
-97.469,30.179,1,1981,16.9,lostP,0.426622466,0.969363357
-95.551,30.7233,1,1981,15,shsu,1.270745451,2.887363357
-99.2906,34.1511,1,1981,14.5,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,1,1981,13.3,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,1,1981,11.4,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,1,1981,11.5,elreno,0.211630768,0.480863357
-97.672833,37.538006,1,1981,8.4,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,1,1981,6.9,psu,1.645407545,3.738663357
-101.8833,33.5667,1,1981,13.4,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,1,1981,14.5,llela,0.648699869,1.473963357
-95.920129,29.920887,1,1981,16.5,Katy,1.108289626,2.518234357
