Longitude,Latitude,month,year,tempmin,site,long.scaled,long.center
-101.2,30.71,1,1980,6,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,1,1980,6.9,llano,-0.5866772,-1.333036643
-97.469,30.179,1,1980,7.7,lostP,0.426622466,0.969363357
-95.551,30.7233,1,1980,8.4,shsu,1.270745451,2.887363357
-99.2906,34.1511,1,1980,2.6,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,1,1980,0.8,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,1,1980,-1.1,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,1,1980,0.3,elreno,0.211630768,0.480863357
-97.672833,37.538006,1,1980,-2.2,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,1,1980,-1.5,psu,1.645407545,3.738663357
-101.8833,33.5667,1,1980,2.3,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,1,1980,4.7,llela,0.648699869,1.473963357
-95.920129,29.920887,1,1980,9.3,Katy,1.108289626,2.518234357
-98.514125,33.913161,1,1980,3.1,wf,-0.033343141,-0.075761643
-101.2,30.71,1,1981,4.3,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,1,1981,5.1,llano,-0.5866772,-1.333036643
-97.469,30.179,1,1981,6.2,lostP,0.426622466,0.969363357
-95.551,30.7233,1,1981,5.5,shsu,1.270745451,2.887363357
-99.2906,34.1511,1,1981,2.4,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,1,1981,0.4,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,1,1981,-0.9,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,1,1981,0.2,elreno,0.211630768,0.480863357
-97.672833,37.538006,1,1981,-2.6,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,1,1981,-2.1,psu,1.645407545,3.738663357
-101.8833,33.5667,1,1981,1.2,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,1,1981,3.7,llela,0.648699869,1.473963357
